Title,Location,Beds,Baths,Area (Marla),Price (PKR),Price Per Marla
F-8 brand new House for Sale.,"F-8, Islamabad",7.0,6.0,36.0,650000000.0,18055555.555555556
Three Bed Apartment For Sale Defence Residency Dha 2,"Defence Residency, DHA Defence Phase 2",3.0,3.0,7.3,15000000.0,2054794.5205479453
"Spacious 3-Bedroom Apartment for Sale Marghalla Facing | Askari Tower 1, DHA Phase 2, Islamabad","Askari Tower 1, DHA Defence Phase 2",3.0,3.0,12.3,35000000.0,2845528.4552845526
5 Marla Brand New House For Sale In DHA Phase 5,"DHA Phase 5 - Sector F, DHA Defence Phase 5",3.0,3.0,5.0,33000000.0,6600000.0
Two Bedroom Apartment For Sale In Defence Residency DHA Phase 2,"Defence Residency, DHA Defence Phase 2",2.0,2.0,3.6,8000000.0,2222222.222222222
1 BED CUBE APARTMENT FOR SALE,"Bahria Enclave - Sector A, Bahria Enclave",1.0,2.0,4.9,12000000.0,2448979.5918367347
British Designe 5 Marla House For Sale,"Bahria Enclave, Bahria Town",3.0,4.0,5.0,25600000.0,5120000.0
OFFER- Dead End Corner 14 Marla House On Just 10% Down Payment,"Bahria Enclave, Bahria Town",6.0,6.0,14.0,83500000.0,5964285.714285715
A Great Choice For A 10 Marla House Available In Bahria Enclave - Sector A,"Bahria Enclave - Sector A, Bahria Enclave",4.0,4.0,10.0,45500000.0,4550000.0
5 Marla Brand New House For Sale In Mumtaz City,"Mumtaz City - Chanab Block, Mumtaz City",4.0,6.0,5.0,23000000.0,4600000.0
"5 Marla Brand New House for Sale in Multi Gardens B-17 (MPCHS), Islamabad","MPCHS - Multi Gardens, B-17",5.0,5.0,5.0,28000000.0,5600000.0
Beautiful Prime Location Double Unit House For Sale In F Block Mpchs Multi Garden B-17 Islamabad,"MPCHS - Multi Gardens, B-17",4.0,5.0,5.0,23900000.0,4780000.0
8 Marla Luxurious Corner House For Sale In Multi Garden B17 Islamabad,"MPCHS - Block E, MPCHS - Multi Gardens",5.0,5.0,8.0,32000000.0,4000000.0
"Prime 10 Marla Designer House For Sale In Multi Garden B-17, Islamabad MPCHS","MPCHS - Multi Gardens, B-17",6.0,6.0,10.0,47000000.0,4700000.0
1 Kanal Double Storey House For Sale,"National Police Foundation O-9, Islamabad",6.0,6.0,20.0,65000000.0,3250000.0
F-8/1 House For Sale Sized 511 Square Yards,"F-8/1, F-8",7.0,,20.0,325000000.0,16250000.0
1960 Square Feet Flat For Sale In Sukh Chayn Residence Islamabad In Only Rs. 85000000,"Sukh Chayn Residence, F-10",3.0,3.0,8.7,85000000.0,9770114.942528736
1 -Kanal Used House Available In Soan Garden Block-E,"Soan Garden - Block E, Soan Garden",8.0,7.0,20.0,58000000.0,2900000.0
7 -Marla Double Story House Is Available In Soan Garden Block-H,"Soan Garden - Block H, Soan Garden",4.0,4.0,7.0,23000000.0,3285714.285714286
One Kanal Brand New House Is Available For In DHA Defence Phase 2,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,108000000.0,5400000.0
Brand New House For Sale Block-D Gulshan-E-Sehat E-18 Islamabad,"Gulshan-e-Sehat 1, E-18",5.0,6.0,8.0,23500000.0,2937500.0
PHA Apartment C Type For Sale in Sector I-11/1 Islamabad,"I-11/1, I-11",2.0,2.0,4.6,9000000.0,1956521.739130435
3 Bedroom Apartment For Sale In Askari Tower 4 Dha 5,"Askari Tower 4, DHA Defence Phase 5",3.0,4.0,11.0,26000000.0,2363636.3636363638
2kanal Gray structure for sale in sector C,"Bahria Enclave - Sector C, Bahria Enclave",9.0,6.0,40.0,160000000.0,4000000.0
"4 Marla Double-Story House for Sale | Scenic Views | Aryan Enclave, Bani Gala","Bani Gala, Islamabad",5.0,5.0,4.0,14500000.0,3625000.0
Conventional Style : 1 kanal Brand New House Ready For Sale In DHA DEFENCE PHASE 2,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,115000000.0,5750000.0
Exclusive Address 1 Kanal Aesthetically Build Designer House Ready For Sale In DHA DEFENCE PHASE 2,"DHA Defence Phase 2, DHA Defence",5.0,6.0,20.0,119000000.0,5950000.0
7 Marla Brand New Double Storey House For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",5.0,6.0,7.0,34000000.0,4857142.857142857
Brand New Spanish Design House For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",6.0,7.0,14.0,55000000.0,3928571.4285714286
"Beautiful 9 Marla Pillar Style House For Sale in I-10/4, Islamabad","I-10/4, I-10",5.0,5.0,9.0,64000000.0,7111111.111111111
