Title,Price,Location,Beds,Baths,Area
3 Bedroom Apartment For Sale On (Investor Rate) Nearby Masjid &Amp; Family Park In Askari Heights 04 DHA 05 Islamabad,2.4 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3,4,12 Marla
CDA SECTOR I-10 MARKAZ CORNER FLAT FOR SALE,3.1 Crore,"I-10 Markaz, I-10",2,1,4.2 Marla
1245 Square Yards House In F-8/2 Is Best Option,50 Crore,"F-8/2, F-8",N/A,N/A,2.5 Kanal
3 Bedroom Apartment for Sale on (Urgent Basis) on (Investor Rate) in Al-Ghurair Giga Islamabad,1.33 Crore,"Defence Residency, DHA Defence Phase 2",3,4,7 Marla
10 Marla Beautiful Double Unit Luxury Spanish Design House,4.35 Crore,"Bani Gala, Islamabad",5,6,10 Marla
30*50 Cda Transfer Brand New Top Location Big Street House Available In G-9/4,7.4 Crore,"G-9/4, G-9",7,6,6.7 Marla
1 Kanal House For Sale 15 kv solar Spanish House Corner 9 Bed 3 Story 3 Unit Brand New 20 Marla Extra Land Not Paid Dha Phase 2 Islamabad,16.5 Crore,"DHA Defence Phase 2, DHA Defence",9,7,1 Kanal
Beautiful 4 Bed Double Unit House Available For Sale Ideal Location 50 Feet Street F-11/3,10 Crore,"F-11/3, F-11",4,5,10 Marla
1 Kanal Beautiful 6Bed House Available For Sale Ideal Location E-11,13.75 Crore,"E-11/3, E-11",6,6,1 Kanal
House Available For Sale With Extra Land,55 Crore,"F-7, Islamabad",6,6,2.1 Kanal
"Prime Location, Demolish-Able House For Sale",34 Crore,"F-7, Islamabad",7,N/A,1.4 Kanal
1 Kanal Beautiful Double Storey House For Sale At Multi Garden B17 Islamabad,8.5 Crore,"B-17, Islamabad",6,6,1 Kanal
14 MARLA BRAND NEW HOUSE,7.9 Crore,"G-14, Islamabad",6,6,14 Marla
Sukh Chyn F10 3 Bedrooms Apartment Available For Sale With Modern Infrastructure And Amenities.,9 Crore,"Sukh Chayn Residence, F-10",3,4,9 Marla
BRAND NEW 50x90 HOUSE WITH FULL BASEMENT,27 Crore,"D-12/4, D-12",9,N/A,1 Kanal
Used 35x70 Investor Price In G-13/4 Islamabad,6.35 Crore,"G-13/4, G-13",6,6,10 Marla
Brand New 10 Marla Spanish Villa For Sale In DHA Phase 5 Islamabad Emaar Canyon Views,5.25 Crore,"DHA Defence Phase 5, DHA Defence",5,7,10 Marla
Semi Furnished 1 Kanal High Quality House,13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
7 Bed Designer House In A Peaceful Street,11.5 Crore,"DHA Defence Phase 2, DHA Defence",7,7,1 Kanal
Designer 1 Kanal House Near Central Park DHA-2,14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
6 Marla Brand New House Available For Sale In CDA Sector I-14 Islamabad . Demand 2.9 Crore,2.9 Crore,"I-14/4, I-14",5,6,6 Marla
F-6 SPANISH DESIGN HOUSE,23 Crore,"F-6, Islamabad",6,6,10 Marla
F-7/3 Brand New Luxurious House,56 Crore,"F-7, Islamabad",6,6,1.2 Kanal
"Extra Ordinary Chelsea Apartments, in Royal Enclave Diplomatic Enclave Facing Margalla Hills Available",7.5 Crore,"Diplomatic Enclave, Islamabad",2,2,6.8 Marla
Investment Opportunity! 511 SQYD House is for SALE,25 Crore,"F-8, Islamabad",5,6,1 Kanal
10 Marla House In Beautiful Location Of Bahria Enclave - Sector A In Islamabad,5.15 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,6,10 Marla
5 Marla Brand New House Double United House Available For Sale,2.35 Crore,"Bahria Enclave, Bahria Town",3,3,5 Marla
Sector C3 10 Marla Brand New House Heighted Location Excellent Construction Quality Sun Facing Available For Sale,4.6 Crore,"Bahria Enclave - Sector C3, Bahria Enclave",5,6,10 Marla
A Block 10 Marla Brand New House For Sale,4.4 Crore,"Top City 1 - Block A, Top City 1",5,6,10 Marla
Spanish House Solar Installed,8 Crore,"Naval Anchorage, Islamabad",6,6,1 Kanal
3 Bed Flat For Sale In Heights 4 Dha 5,2.65 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3,3,10 Marla
Beautiful Fully Furnished 2 Bedroom Apartments For Sale,7 Crore,"Karakoram Diplomatic Enclave, Islamabad",2,2,7.1 Marla
Brand New 10 Marla House Available In Top City 1 - Block A For Sale,4.45 Crore,"Top City 1 - Block A, Top City 1",6,N/A,10 Marla
Highly-Desirable On Excellent Location House Available In D-12 For sale,5.75 Crore,"D-12, Islamabad",5,6,5 Marla
Fully Renovated House Available For Sale,39 Crore,"F-7, Islamabad",6,6,1.3 Kanal
Prime Location House Available For Sale In F7,42 Crore,"F-7, Islamabad",6,6,1.8 Kanal
Askari Flat For Sale,3.2 Crore,"Askari Tower 3, DHA Defence Phase 5",3,4,11.9 Marla
BRAND NEW 1 Kanal Double Story House For Sale Imran Khan Chowk Banigala,6.5 Crore,"Bani Gala, Islamabad",5,5,1 Kanal
BRAND New Beautiful Spanish House For Sale In Banigala Near Korang Road,4.9 Crore,"Bani Gala, Islamabad",6,6,10 Marla
My Own House Available For Sale Original Pictures Attached,3.5 Crore,"National Police Foundation O-9, Islamabad",5,5,10 Marla
New Beautiful Family House At Best Price,2.84 Crore,"Soan Garden, Islamabad",4,6,6 Marla
Most Luxuries Specious 3 Bedroom Corner Apartment Goldcrest Highlife-1 Nera GIGA MALL DHA Phase 2 Islamabad. . . .,3.22 Crore,"Goldcrest Highlife, DHA Defence Phase 2",3,4,14.3 Marla
Brand New Luxury 3 Bedroom Apartment Available For Sale Roof Top Swimming Pool Near GIGA Mall Dha Phase 2 Islamabad,1.5 Crore,"Al-Ghurair Giga - Block 16, Al-Ghurair Giga",3,3,5.2 Marla
Brand New Luxury 3 Bedroom Apartment Available For Sale Roof Top Swimming Pool Near GIGA Mall Dha Phase 2 Islamabad,1.5 Crore,"Goldcrest Views, DHA Defence Phase 2",3,3,5.1 Marla
Size 50x90 Brand New Double Storey Luxury House For Sale IN G-13,16.5 Crore,"G-13, Islamabad",7,7,1 Kanal
"7 Marla Brand New Grey structure Available for sale in CDA sector I-14 Islamabad , Demand 2.2 crore",2.2 Crore,"I-14, Islamabad",4,5,7 Marla
01 Kanal Triple Storey 10 Beds House,6.2 Crore,"E-17/3, E-17",10,N/A,1 Kanal
Size 35x70 Double Store Luxury House For Sale IN G-13,7 Crore,"G-13, Islamabad",6,7,10 Marla
6 Marla House available for sale in Korang town Islamabad,2.8 Crore,"Korang Town, Islamabad",4,4,6 Marla
Bahria Enclave Flat For Sale Sized 1250 Square Feet,1.55 Crore,"Bahria Enclave, Bahria Town",2,2,5.6 Marla
10 Marla House Available In Bahria Enclave - Sector C1 For Sale,5.5 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
One Constitution    Avenue 2 Bed Luxurious Apartment For Sale,5.5 Crore,"One Constitution Avenue, Constitution Avenue",1,1,4.5 Marla
"Here's a description:  Diplomatic Enclave Luxurious 2-Bedroom Semi-Furnished Apartment for Sale in Diplomatic Enclave, Islamabad",7.2 Crore,"Diplomatic Enclave, Islamabad",2,2,6.5 Marla
Sector C1 10 Marla 5 Bedroom Owner Build House For Sale,5.35 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
On Excellent Location,10.5 Crore,"G-13/3, G-13",7,6,14 Marla
5 Marla House For Sale,2.35 Crore,"B-17, Islamabad",4,6,5 Marla
Idyllic House Available In G-16/4 For sale,3.8 Crore,"G-16/4, G-16",5,6,7 Marla
Beautiful New House,2.9 Crore,"Bani Gala, Islamabad",4,6,7 Marla
2 Bed Apartment Sector-C-1,1.1 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",2,2,4.9 Marla
Luxurious Triple Storey House For Sale In Prime Location Of F-7/3,65 Crore,"F-7/3, F-7",8,1,2.5 Kanal
"Triple Story House, Prime Location House Available For Sale In F7",65 Crore,"F-7, Islamabad",10,N/A,2 Kanal
10 Marla Beautiful House For Sale In Faisal Town Phase 1,4.85 Crore,"Faisal Town - F-18, Islamabad",6,6,10 Marla
10 MARLA CORNER HOUSE FOR SALE IN FAISAL TOWN,5.5 Crore,"Faisal Town - F-18, Islamabad",6,7,10 Marla
"House for Sale Prime Location Near F-10 Markaz, Islamabad",4.8 Crore,"F-10/3, F-10",4,3,4.2 Marla
Bahria Enclave 5 Marla Grey Structure House For Sale In Sector N,1.55 Crore,"Bahria Enclave, Bahria Town",3,4,5 Marla
Hottest Offer! 2 Bed Possession able Apartment in Park View City | 18-Month Installments | Limited Time Offer,3.89 Crore,"Park View - Block B, Park View City",2,2,5.8 Marla
Sale A House In Islamabad Prime Location,4.6 Crore,"DHA Phase 2 - Sector J, DHA Defence Phase 2",4,5,6 Marla
"A Brand NEW House For Sale In Abdullah Garden , H 13 Islamabad",1.98 Crore,"H-13, Islamabad",5,7,5.6 Marla
Luxurious 1 Kanal Double Unit House For Sale In DHA Defence Phase 2 Islamabad!,11.8 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
"Luxury 2 Bedrooms Apartment In Giga Goldcrest Views, DHA Defence Phase 2",2.5 Crore,"DHA Defence Phase 2, DHA Defence",2,2,8.9 Marla
Premium 1-Kanal Residence For Sale In DHA 2 Walking Distance To Giga Mall,13.7 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
"1 Kanal House for Sale DHA Phase 2, Islamabad",10.5 Crore,"DHA Defence Phase 5, DHA Defence",5,5,1 Kanal
Corner Brand New Double Luxury House For Sale In G-13 Islamabad,9.4 Crore,"G-13, Islamabad",6,7,10 Marla
Brand New 35X70 Luxury House For Sale In G-13 Islamabad,8.3 Crore,"G-13, Islamabad",6,7,10 Marla
Beautiful Designer 5 Marla Double story House For Sale Sector B Bahria Enclave Islamabad,2.85 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",3,3,5 Marla
Full House For Sale In E-7 Islamabad,75 Crore,"E-7, Islamabad",8,7,1.8 Kanal
5 MARLA LUXURY BRAND NEW HOUSE AVAILABLE FOR SALE,5.75 Crore,"D-12/1, D-12",4,5,5 Marla
Ideally Located Studio Apartment In J7 Emporium,1.1 Crore,"B-17, Islamabad",N/A,1,3.2 Marla
Park Corner Solid Triple Storey 60x90 House for Sale in I-8,19 Crore,"I-8, Islamabad",8,7,1.2 Kanal
Get In Touch Now To Buy A 2019 Square Feet Flat In The Centaurus,9 Crore,"The Centaurus, F-8",2,3,9 Marla
23 Marla Corner Double Storey Two Gate House,10 Crore,"Bahria Enclave - Sector C, Bahria Enclave",5,6,1.2 Kanal
Designer 7 Marla Brand New House For Sale,3.65 Crore,"Faisal Town - F-18, Islamabad",6,7,8 Marla
House For Sale In Bahria Enclave Islamabad corner House,2.3 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,6.6 Marla
House For Sale - Short Corner,2.35 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",4,5,5 Marla
"Luxurious 7 Bed House In F-8, Prime Location, CDA Transfer, Price 85Cr",85 Crore,"F-8, Islamabad",7,N/A,3.6 Kanal
Beautiful House With Extra Land Available For Sale,40 Crore,"F-8, Islamabad",7,N/A,1.3 Kanal
Elysium Mall One Bed Apartment,4.65 Crore,"Elysium Mall, Blue Area",1,1,3.4 Marla
H-13 Outclass Location House Near Kashmir Highway,3 Crore,"H-13, Islamabad",6,6,8 Marla
F-11 Savoy Residence 4 Bedrooms,7.3 Crore,"F-11, Islamabad",4,4,16 Marla
Fully Renovated Apartment C type,2.1 Crore,"G-11, Islamabad",3,2,4.9 Marla
4 Kanal Farm House For Sale In Banigala,18 Crore,"Bani Gala, Islamabad",7,6,4 Kanal
7 MARLA DOUBLE UNIT HOUSE FOR SALE BLOCK D | 2 GAS METER | 5 Kv SOLAR,3.35 Crore,"CBR Town Phase 1 - Block D, CBR Town Phase 1",5,6,7 Marla
Beautiful House Available For Sale,26 Crore,"F-8, Islamabad",5,6,1 Kanal
F-11 Abudhabi Tower 1 Bed 800 Sqft Fully Furnished Apartment For Sale,1.3 Crore,"F-11 Markaz, F-11",N/A,N/A,4 Marla
F-10-1 Duplex House 511 Squired Yard,16 Crore,"F-10/1, F-10",5,6,1 Kanal
F-10 Duplex House For Sale Prime Location Double Storey 5 Beds,16.5 Crore,"F-10/1, F-10",5,6,1 Kanal
F-8/3 Reasonable Price Demolishable House For Sale,30 Crore,"F-8/3, F-8",4,4,1.8 Kanal
1070 Square Feet Apartment Is Available For Sale In 5G Emporium Plaza A block Top City Islamabad,1.9 Crore,"Top City 1 - Block A, Top City 1",2,N/A,4.8 Marla
F-10/4 Front Open 6 Bed Room Size 1066 Square Yard Dead End Street,36 Crore,"F-10, Islamabad",6,6,2.1 Kanal
1 Kanal House For Sale In F7 Islamabad,30 Crore,"F-7, Islamabad",6,6,1 Kanal
Your Perfect Oasis Awaits! Semi-Furnished 1250 Sqft Flat For Sale On Installments In The Royal Mall & C Residency,1.55 Crore,"Bahria Enclave, Bahria Town",2,2,5.6 Marla
B-17 Multi Garden House For Sale Block E Islamabad,4.25 Crore,"MPCHS - Block E, MPCHS - Multi Gardens",5,5,8 Marla
Luxurious 35 Marla Spanish Furnished House For Sale Prime Main Boulevard Location DHA Phase 5 Islamabad,22 Crore,"DHA Defence Phase 5, DHA Defence",6,6,1.7 Kanal
"Prime 2-Side Corner House for Sale in F-8, Islamabad",77 Crore,"F-8, Islamabad",6,5,3.6 Kanal
"7 Marla Brand New Double Storey LOP Approved House For Sale In Jinnah Garden, Islamabad",3.7 Crore,"Jinnah Gardens, FECHS",5,7,7 Marla
7 MARLA BRAND NEW DOUBLE STORY LOP CLEARED HOUSE FOR SALE IN JINAH GARDEN,3.7 Crore,"Jinnah Gardens, FECHS",5,7,7 Marla
Jinah Garden 5.5 Marla Brand New Corner Luxury House For Sale Double Story With Servant Quarter,2.6 Crore,"Jinnah Gardens, FECHS",5,6,5.6 Marla
3 Bedroom Unfurnished Apartment Available For Sale In F-11,4.2 Crore,"F-11, Islamabad",3,3,14.2 Marla
House For Sale 10 Marla,2.85 Crore,"University Town - Block D, University Town",6,6,10 Marla
"Luxurious 5 Bed House In F-8, Prime Location, CDA Transfer, Price 27 Crore",27 Crore,"F-8, Islamabad",5,6,1 Kanal
"Luxurious 10 Bed House in F-8, Prime Location, CDA Transfer, Price 90 Crore",90 Crore,"F-8, Islamabad",10,N/A,3.6 Kanal
E-11 Two Bedroom Apartment For Sale.,1.45 Crore,"E-11, Islamabad",2,2,5.6 Marla
E-11 Three Bedroom Apartment Available For Sale.,1.15 Crore,"E-11, Islamabad",3,3,6 Marla
E11 Two Bedrooms Unfurnished Apartment Available For Sale,1.45 Crore,"E-11, Islamabad",2,2,4.2 Marla
Stylish A+ Constructed 10 Marla Home In C-1 Block B-17 Ideal For Families,4.65 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",5,7,10 Marla
Stylish A+ Constructed 5 Marla Home in C-1 Block B-17 Ideal for Families,2.7 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",5,5,5 Marla
F-10/4 Duplex 533 Square Yards 5 Bed Room House For Sale,15.5 Crore,"F-10/4, F-10",5,5,1.1 Kanal
10 Marla House Is Available For Sale In Top City Block A Islamabad,4.5 Crore,"Top City 1 - Block A, Top City 1",5,N/A,10 Marla
F-10 Fully House For Sale,24 Crore,"F-10/2, F-10",6,6,1.3 Kanal
650 Square Feet 4th Floor Apartment Is Available For Sale In Sapphire Arcade G-15 Markaz Islamabad,55 Lakh,"Sapphire Arcade, G-15 Markaz",N/A,N/A,2.9 Marla
F-11 Abu Dhabi Towers Apartment For Sale 5th Floor Main Location,4.25 Crore,"F-11, Islamabad",2,3,12.4 Marla
E11 Galaxy House 6bed,9.25 Crore,"E-11, Islamabad",6,7,16 Marla
Sector H 5 Marla Back Open House For Sale in Bahria Enclave Islamabad,2.35 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,3,5 Marla
10 Marla House with Basement for Sale Bahria Enclave Islamabad,4.75 Crore,"Bahria Enclave - Sector A, Bahria Enclave",7,7,10 Marla
Prime Re-Development Opportunity: 1066 Sq. Yd. House In F-6/4 Islamabad,42 Crore,"F-6, Islamabad",6,6,2.1 Kanal
Investment Opportunity: House For Sale With Strong Rental Income In F-8/1,45 Crore,"F-8, Islamabad",6,6,2.1 Kanal
Brand New 6-Bedroom House in F-8 Islamabad - Prime Investment Opportunity!,45 Crore,"F-8, Islamabad",6,6,1.8 Kanal
"Luxurious 6-Bedroom House on Main Double Road, F-8/4 - Spacious 1244 sq yd!",53 Crore,"F-8, Islamabad",6,6,2.5 Kanal
"Stunning Designer House Next to Central Park DHA Phase 2, Islamabad",13.95 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
10 Marla House Available In Top City 1 For Sale,3.7 Crore,"Top City 1, Islamabad",5,6,10 Marla
5 Marla Brand New House For Sale In Bahria Enclave Islamabad,2.45 Crore,"Bahria Enclave, Bahria Town",3,3,5 Marla
"1 Kanal Modern House For Sale DHA Phase 2, Islamabad",7.75 Crore,"Naval Anchorage, Islamabad",5,6,1 Kanal
Park View City H Block 5 Marla Corner Villa,3.5 Crore,"Park View - Block H, Park View City",4,5,5 Marla
1 Kanal Brand New with Solar 15 KW. Double Unit House Available For Sale. Multi Gardens MPCHS B-17 Block A Islamabad.,8.5 Crore,"MPCHS - Block A, MPCHS - Multi Gardens",9,6,1 Kanal
"Livable House With Extra Land , Prime Location Available For Sale",35 Crore,"F-8, Islamabad",6,6,1.6 Kanal
Prime Investment Opportunity: Demolished House On 832 SQ YARD In F-8/3,30 Crore,"F-8/3, F-8",8,3,1.7 Kanal
Brand New 1.5 Storey House Is Available In Jinnah Garden Phase 1 Islamabad,2.45 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",3,4,8 Marla
Brand New Spanish Double storey Corner House In Jinnah Garden Phase 1 Islamabad,5.5 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",7,6,10 Marla
Investor Deal 1 Bed Apartment For Sale In Zarkon Heights G-15 | Below Market Price Ready To Move Limited-Time Opportunity One Of The Cheapest Units In The Project,98 Lakh,"Zarkon Heights, G-15",1,1,2.5 Marla
Brand New House Available For Sale,2.1 Crore,"Faisal Margalla City, B-17",4,5,5 Marla
5 Marla Brand New House Luxury House For Sale,2.3 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",3,4,5 Marla
1 kanal triple unit owner Built House for sale,12.75 Crore,"DHA Defence Phase 2, DHA Defence",9,6,1 Kanal
1 Kanal Brand New Beautiful Solid Constructed House For Sale,9.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
1 Kanal Solid Constructed Beautiful Double Unit House For Sale,10.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
1 Kanal Semi Furnished House For Sale,9.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
5 Marla Single Story House For Sale In Banigala,1.3 Crore,"Bani Gala, Islamabad",2,3,5 Marla
5 Marla brand new single story house for sale in banigala,1.2 Crore,"Bani Gala, Islamabad",2,3,5 Marla
10 Marla Brand New Double Storey House For Sale In Banigala,4.5 Crore,"Bani Gala, Islamabad",4,4,10 Marla
6 Bedroom Top Designer House For Sale,13.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
1 Kanal Cornor Designer Canadian Stylish House Near Central Commercial DHA Phase 5 Islamabad,10.75 Crore,"DHA Phase 5 - Sector B, DHA Defence Phase 5",6,6,1 Kanal
For Sale: 2 Bed Unfurnished Apartment Sky Park One Brand New Unit,3 Crore,"Skypark One, Gulberg Greens",2,2,7.8 Marla
"Stylish 1 Bed Apartment With Margalla Hills Views In Diplomatic Enclave, Rhodium, Islamabad",5.6 Crore,"Diplomatic Enclave, Islamabad",1,1,4.7 Marla
"5.5 Marla Designer House for Sale in Sector H, Bahria Enclave Islamabad | Park Facing | Front & Back Open",2.7 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,3,5 Marla
5 MARLA ( 25*50) BRAND NEW HOUSE FOR SALE,2.5 Crore,"Faisal Town - F-18, Islamabad",5,5,5 Marla
5 Marla Double Unit House Available. For Sale In Gulshan E Sehat E-18 Islamabad.,1.75 Crore,"Gulshan-e-Sehat 1, E-18",4,6,5 Marla
5 Marla Modern Design House,2.1 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",3,5,5 Marla
3.5 Marla Single Unit House Available For Sale in Paradise Mansion D-17 Islamabad.,80 Lakh,"D-17, Islamabad",3,3,3 Marla
Three Bedroom Apartment Available For Sale In Capital Resorts,1.35 Crore,"Capital Resorts, E-11/4",3,3,5.3 Marla
Beautiful House For Sale,95 Lakh,"H-13, Islamabad",3,3,3 Marla
Demolishable House Available For Sale,22 Crore,"F-8, Islamabad",5,5,1 Kanal
Demolishable House With Extra Land Available For Sale,32 Crore,"F-8, Islamabad",6,6,1.3 Kanal
900 sft ground floor flat available in g-10/2,2.25 Crore,"G-10/2, G-10",2,2,4 Marla
Liveable House For Sale G-8/2,3.2 Crore,"G-8, Islamabad",4,4,4 Marla
"LUXURY 2 BEDROOM, READY TO MOVE APARTMENT ON INSTALLMENTS",1.05 Crore,"Margalla Avenue, Islamabad",2,2,4.4 Marla
"LUXURY 1 BED ROOM, READY TO MOVE APARTMENT ON INSTALLMENTS",60 Lakh,"Margalla Avenue, Islamabad",1,1,2.2 Marla
One Bedroom Flat For Sale In Green Height B-17 Islamabad At Reasonable Price In Block A,46 Lakh,"B-17, Islamabad",1,1,2.1 Marla
Straight Line Top Designer 1 Kanal House For Sale,12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
1 Kanal Top Designer Straight Line Villa For Sale,13.95 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
5 Marla Brand New Single Story House For Sale In Banigala,1.25 Crore,"Bani Gala, Islamabad",2,3,5 Marla
brand new Double story house for sale ideal location i-10/1 open face,2.45 Crore,"I-10/1, I-10",4,4,4.4 Marla
Dha2 One kanal Brand new Designer House,13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Dha2 One Kanal Brand New Furnished House,11.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Dha2 One kanal Brnad new Designer House,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Dha2 26 Marla Brand new Luxurious House Full Furnished House Most prime location of Dha2,24 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1.3 Kanal
Cda Sector D-12/3(25*40)=4-Marla Double Storey House For Sale.,4.25 Crore,"D-12/3, D-12",4,4,4 Marla
Centarus Prestigious Duplex Living Fully Furnished Apartment In Centaurus Tower,15 Crore,"The Centaurus, F-8",3,4,13.8 Marla
3 Bedrooms For Sale In Centaurs Mall Islamabad,16 Crore,"The Centaurus, F-8",3,4,13.4 Marla
Brand New Architecture Kanal Mansion At Prime Location,12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
A Perfect House Awaits You In Faisal Margalla City Islamabad,3.6 Crore,"Faisal Margalla City, B-17",5,5,7 Marla
Askari Hisgths 4 Dha 5 Isb Flat For Sale,2.5 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3,3,10 Marla
Good Location Brand New House For Sale,2.35 Crore,"I-11/2, I-11",4,4,4 Marla
Facing Park Sale The Ideally Located House For An Incredible Price Of Pkr Rs. 59000000,5.9 Crore,"PHAF Officers Residencia, Kuri Road",N/A,N/A,1 Kanal
"Spacious 3-Bedroom Apartment for Sale Overseas Block 16, DHA Phase 2 Islamabad",1.4 Crore,"Al-Ghurair Giga - Block 16, Al-Ghurair Giga",3,3,5.1 Marla
4 Marla Beautiful House For Sale,4.85 Crore,"D-12, Islamabad",N/A,N/A,4 Marla
Spacious Corner Sun-Facing House 1022 Square Yard Prime Location 80115 Livable Asking 42 Cr,42 Crore,"F-8, Islamabad",7,N/A,2 Kanal
Exquisite 7-Bed Home In Exclusive F-8 Locale - CDA Transfer,36 Crore,"F-8, Islamabad",7,N/A,1.8 Kanal
One Bedroom Flat For Sale On Easy Installment Plan In Domination Heights In FMC By B-17 Islamabad,87 Lakh,"Faisal Margalla City, B-17",1,1,2.5 Marla
Two BHK Bedroom Flat For Sale In B-17 Multi Garden At Main Gate Islamabad,86 Lakh,"B-17, Islamabad",2,2,4.1 Marla
Investor Rate Villa Available For Sale. .,1.5 Crore,"B-17, Islamabad",3,3,5 Marla
E 11 House For Sale At Reasonable Price 5-Bedrooms 6-Bath DD 2-TvL 2-Kitchen,7 Crore,"E-11, Islamabad",5,6,10 Marla
F11 Karkurm Inclave 4 Bed Room Apt Urgently Sale More Details,8 Crore,"F-11, Islamabad",4,4,16.9 Marla
7 Marla Pair Brand New Double Storey House For Sale CBR Town,3.6 Crore,"CBR Town Phase 1 - Block C, CBR Town Phase 1",5,6,7 Marla
Brand New 10 Marla House For Sale In Bahria Enclave Sector C1,4.4 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",4.4 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
Brand New 12 MARLA HOUSE,6.75 Crore,"PWD Road, Islamabad",6,6,12 Marla
8 Marla House For Sale,3.6 Crore,"Soan Garden - Block B, Soan Garden",6,6,8 Marla
"Luxury Residential Apartment For Sale In DHA Phase 3, Islamabad",1.73 Crore,"Regent One, DHA Defence Phase 3",2,2,5.4 Marla
"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2.6 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,3,5 Marla
7 Marla Brand New House For Sale,3.2 Crore,"Jinnah Gardens, FECHS",4,N/A,7 Marla
HOUSE FOR SALE IN D12 SIZE 35*70 (10 MARLA),14 Crore,"D-12/4, D-12",6,6,10 Marla
8 Marla Corner Brand New Luxury House For Sale In E Block Multi Garden B 17 Islamabad,3.15 Crore,"MPCHS - Block E, MPCHS - Multi Gardens",4,6,8 Marla
2 Bed Flat For Sale In Capital Square,93 Lakh,"Capital Square, B-17",2,2,5 Marla
5 Marla Brand New House For Sale,1.95 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",3,4,5 Marla
8 Marla 65% Complete Owner Build Gray Structure House For Sale,2.35 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",4,6,8 Marla
25X50 NEW HOUSE FOR SALE SINGLE/DOUBLE UNIT,5.75 Crore,"D-12/1, D-12",4,6,5.6 Marla
5 Marla Corner Double Unit House Available. For Sale In Gulshan E Sehat E-18 In Islamabad.,1.6 Crore,"Gulshan-e-Sehat 1, E-18",4,5,5 Marla
1165 Square Feet Flat Is Available For Sale In Miusam Mall & Apartments FMC Block Sector B-17 Islamabad,1.25 Crore,"B-17, Islamabad",2,2,5.2 Marla
5 Marla Brand New Luxury House For Sale,2.65 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,5 Marla
Bahria Enclave Islamabad 5 Marla Brand New Luxury House Available For Sale.,2.6 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,3,5 Marla
A Beautiful House For Sale In F10,32 Crore,"F-10, Islamabad",10,6,2 Kanal
Beautiful House For Sale In F-10,21 Crore,"F-10/3, F-10",6,6,1.3 Kanal
5 Marla Double Storey Corner House For Sale Bani Gala Islamabad,1.55 Crore,"Bhara kahu, Islamabad",6,5,5 Marla
4 Marla Double Storey House For Sale Bhrakahu Islamabad,93 Lakh,"Bhara kahu, Islamabad",6,6,4 Marla
Double Storey 5 Marla House In Green Avenue High Quality Construction And Beautiful House Constructions 4 Bedrooms With Attached Bathrooms One Large Car Parking,2.6 Crore,"Green Avenue, Islamabad",4,5,5 Marla
